,days,pert
0,3,52.0
1,4,49.0
2,5,46.0
3,6,51.0
4,7,51.0
5,8,42.0
6,9,50.0
7,10,54.0
8,11,51.0
9,12,45.0
10,13,49.0
11,14,40.0
12,15,47.0
13,16,49.0
14,17,54.0
15,18,52.0
16,19,51.0
